username,repo_name,stars,repo_url
bregman-arie,devops-exercises,65000,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,57300,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,20600,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18500,https://github.com/recommenders-team/recommenders
getsops,sops,15900,https://github.com/getsops/sops
danny-avila,LibreChat,15700,https://github.com/danny-avila/LibreChat
ramitsurana,awesome-kubernetes,14900,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,13900,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,12700,https://github.com/caprover/caprover
infracost,infracost,10700,https://github.com/infracost/infracost
milanm,DevOps-Roadmap,10700,https://github.com/milanm/DevOps-Roadmap
prowler-cloud,prowler,10300,https://github.com/prowler-cloud/prowler
google,go-cloud,9500,https://github.com/google/go-cloud
microsoft,computervision-recipes,9400,https://github.com/microsoft/computervision-recipes
budtmo,docker-android,8900,https://github.com/budtmo/docker-android
Netflix,metaflow,7900,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7500,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7300,https://github.com/midwayjs/midway
node-formidable,formidable,7000,https://github.com/node-formidable/formidable
thangchung,clean-code-dotnet,7000,https://github.com/thangchung/clean-code-dotnet
