username,repo_name,stars,repo_url
sindresorhus,awesome,312000,https://github.com/sindresorhus/awesome
vinta,awesome-python,213000,https://github.com/vinta/awesome-python
awesome-selfhosted,awesome-selfhosted,188000,https://github.com/awesome-selfhosted/awesome-selfhosted
trimstray,the-book-of-secret-knowledge,138000,https://github.com/trimstray/the-book-of-secret-knowledge
avelino,awesome-go,126000,https://github.com/avelino/awesome-go
521xueweihan,HelloGitHub,88300,https://github.com/521xueweihan/HelloGitHub
papers-we-love,papers-we-love,85500,https://github.com/papers-we-love/papers-we-love
Hack-with-Github,Awesome-Hacking,80600,https://github.com/Hack-with-Github/Awesome-Hacking
jaywcjlove,awesome-mac,73400,https://github.com/jaywcjlove/awesome-mac
DopplerHQ,awesome-interview-questions,69300,https://github.com/DopplerHQ/awesome-interview-questions
MunGell,awesome-for-beginners,66300,https://github.com/MunGell/awesome-for-beginners
enaqx,awesome-react,63500,https://github.com/enaqx/awesome-react
fffaraz,awesome-cpp,57400,https://github.com/fffaraz/awesome-cpp
sindresorhus,awesome-nodejs,57200,https://github.com/sindresorhus/awesome-nodejs
binhnguyennus,awesome-scalability,57100,https://github.com/binhnguyennus/awesome-scalability
prakhar1989,awesome-courses,55700,https://github.com/prakhar1989/awesome-courses
Solido,awesome-flutter,52300,https://github.com/Solido/awesome-flutter
wasabeef,awesome-android-ui,49900,https://github.com/wasabeef/awesome-android-ui
tiimgreen,github-cheat-sheet,46800,https://github.com/tiimgreen/github-cheat-sheet
vsouza,awesome-ios,46500,https://github.com/vsouza/awesome-ios
