username,repo_name,stars,repo_url
flutter,flutter,164000,https://github.com/flutter/flutter
facebook,react-native,117000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,106000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,80600,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,52300,https://github.com/Solido/awesome-flutter
google,material-design-icons,50200,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,49900,https://github.com/wasabeef/awesome-android-ui
tldr-pages,tldr,49500,https://github.com/tldr-pages/tldr
square,okhttp,45500,https://github.com/square/okhttp
laurent22,joplin,44400,https://github.com/laurent22/joplin
android,architecture-samples,44100,https://github.com/android/architecture-samples
square,retrofit,42900,https://github.com/square/retrofit
appwrite,appwrite,42600,https://github.com/appwrite/appwrite
skylot,jadx,40200,https://github.com/skylot/jadx
dcloudio,uni-app,39700,https://github.com/dcloudio/uni-app
fastlane,fastlane,38900,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37400,https://github.com/PhilJay/MPAndroidChart
shadowsocks,shadowsocks-android,34900,https://github.com/shadowsocks/shadowsocks-android
airbnb,lottie-android,34800,https://github.com/airbnb/lottie-android
